"1",1.025770,1.025770
"2",1.048860,1.048860
"3",1.064428,1.064428
"4",1.074870,1.074870
"5",1.081849,1.081849
"6",1.086503,1.086503
"7",1.089601,1.089601
"8",1.091662,1.091662
"9",1.093032,1.093032
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",0.991528,0.991528
"4",0.972760,0.972760
"5",0.948074,0.948074
"6",0.915541,0.915541
"7",0.873910,0.873910
"8",0.823087,0.823087
"9",0.764343,0.764343
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.001100,1.001100
"5",0.978816,0.978816
"6",0.951869,0.951869
"7",0.917892,0.917892
"8",0.875352,0.875352
"9",0.823968,0.823968
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.031654,1.031654
"5",1.007498,1.007498
"6",0.982854,0.982854
"7",0.954394,0.954394
"8",0.919456,0.919456
"9",0.876311,0.876311
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.031654,1.031654
"5",1.038392,1.038392
"6",1.011763,1.011763
"7",0.985541,0.985541
"8",0.956074,0.956074
"9",0.920494,0.920494
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.031654,1.031654
"5",1.038392,1.038392
"6",1.042886,1.042886
"7",1.014603,1.014603
"8",0.987329,0.987329
"9",0.957190,0.957190
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.031654,1.031654
"5",1.038392,1.038392
"6",1.042886,1.042886
"7",1.045878,1.045878
"8",1.016492,1.016492
"9",0.988517,0.988517
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.031654,1.031654
"5",1.038392,1.038392
"6",1.042886,1.042886
"7",1.045878,1.045878
"8",1.047869,1.047869
"9",1.017748,1.017748
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.031654,1.031654
"5",1.038392,1.038392
"6",1.042886,1.042886
"7",1.045878,1.045878
"8",1.047869,1.047869
"9",1.049192,1.049192
"1",1.025770,1.025770
"2",1.006548,1.006548
"3",1.021574,1.021574
"4",1.031654,1.031654
"5",1.038392,1.038392
"6",1.042886,1.042886
"7",1.045878,1.045878
"8",1.047869,1.047869
"9",1.049192,1.049192
