"1",0.593843,0.593843
"2",0.613514,0.613514
"3",0.626404,0.626404
"4",0.634870,0.634870
"5",0.640444,0.640444
"6",0.644122,0.644122
"7",0.646554,0.646554
"8",0.648164,0.648164
"9",0.649231,0.649231
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.640592,0.640592
"4",0.720368,0.720368
"5",0.836070,0.836070
"6",0.998550,0.998550
"7",1.219361,1.219361
"8",1.509668,1.509668
"9",1.879377,1.879377
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.649660,0.649660
"5",0.727434,0.727434
"6",0.841698,0.841698
"7",1.003086,1.003086
"8",1.223015,1.223015
"9",1.512569,1.512569
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.607232,0.607232
"5",0.655645,0.655645
"6",0.732116,0.732115
"7",0.845431,0.845431
"8",1.006096,1.006096
"9",1.225440,1.225440
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.607232,0.607232
"5",0.612374,0.612374
"6",0.659602,0.659602
"7",0.735218,0.735218
"8",0.847908,0.847908
"9",1.008094,1.008094
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.607232,0.607232
"5",0.612374,0.612374
"6",0.615762,0.615762
"7",0.662221,0.662221
"8",0.737275,0.737275
"9",0.849552,0.849552
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.607232,0.607232
"5",0.612374,0.612374
"6",0.615762,0.615762
"7",0.618001,0.618001
"8",0.663956,0.663956
"9",0.738640,0.738640
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.607232,0.607232
"5",0.612374,0.612374
"6",0.615762,0.615762
"7",0.618001,0.618001
"8",0.619482,0.619482
"9",0.665106,0.665106
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.607232,0.607232
"5",0.612374,0.612374
"6",0.615762,0.615762
"7",0.618001,0.618001
"8",0.619482,0.619482
"9",0.620463,0.620463
"1",0.593843,0.593843
"2",0.587470,0.587470
"3",0.599410,0.599410
"4",0.607232,0.607232
"5",0.612374,0.612374
"6",0.615762,0.615762
"7",0.618001,0.618001
"8",0.619482,0.619482
"9",0.620463,0.620463
